chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,462424,0,0,-3,3,0,2,0.0,-0.5,0,William,0.0,27,False,,,42,462424.jpg,0.0,Saliba,1.1,False,,a,1,3,0,17523,359,169646,1100,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394,148,377,147,333,129,399,148,,,,,,
,,47431,0,0,-1,1,1,3,2.0,1.5,2,Willian,2.0,478,False,,,79,47431.jpg,4.4,Borges Da Silva,9.2,False,,a,1,3,22,719273,1699,821074,18352,0.3,2.8,Willian,362,0,3,1,5,0,0,0,0,0,0,2,73,56.8,110.4,42.0,21.0,139,52,19,11,107,56,58,32,2.0,,1.0,,,
,,226597,0,0,1,-1,1,2,1.5,1.0,2,Gabriel,1.5,494,False,,,51,226597.jpg,5.2,Magalhães,12.5,False,,a,1,3,21,784360,4180,351183,6595,0.3,4.1,Gabriel,360,1,0,1,3,0,0,0,0,0,0,3,81,115.6,3.7,57.0,17.6,31,9,270,88,72,9,76,15,,,,,,
,,182539,0,0,0,0,0,3,3.2,2.7,2,Daniel,3.2,501,False,,,50,182539.jpg,2.8,Ceballos Fernández,2.0,False,,a,1,3,14,107142,1005,112983,1923,0.6,2.8,Ceballos,302,0,1,1,3,0,0,0,1,0,0,3,82,91.4,92.3,24.0,20.8,65,25,30,21,161,85,59,33,3.0,,,,,
,,153256,0,0,0,0,0,3,1.0,0.5,0,Mohamed Naser,1.0,526,False,,,45,153256.jpg,2.3,El Sayed Elneny,1.5,False,,a,1,3,7,142724,570,93289,1825,0.2,1.6,Elneny,270,0,0,1,4,0,0,0,0,0,0,0,51,42.6,19.7,22.0,8.4,175,71,181,110,167,89,197,94,,,,,,
,,113534,0,0,0,0,0,1,0.0,-0.5,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,1.0,False,,a,1,3,0,66202,1254,27013,337,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,376,33,360,12,310,10,381,33,,,,,,
,,115918,0,0,0,0,0,1,0.0,-0.5,0,Rúnar Alex,0.0,547,False,,,45,115918.jpg,0.0,Rúnarsson,0.0,False,,a,1,3,0,727,28,358,28,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,461,55,450,39,410,37,466,55,,,,,,
,,167199,0,0,0,0,0,3,1.5,1.0,0,Thomas,0.0,567,False,,,50,167199.jpg,0.0,Partey,0.5,False,,a,1,3,0,36730,2815,4516,681,0.0,0.0,Partey,7,0,0,0,0,0,0,0,1,0,0,0,2,3.0,0.3,0.0,0.3,342,153,339,166,514,204,359,162,,,,,,
,,98980,0,0,2,-2,0,1,5.5,5.0,0,Emiliano,5.5,12,False,,,47,98980.jpg,7.3,Martínez,20.6,False,,a,2,7,22,1151831,25540,204283,1731,1.2,4.7,Martínez,270,0,0,2,2,0,1,0,0,0,9,2,86,93.2,0.0,0.0,9.3,60,7,474,44,443,43,178,8,,,,,,
0.0,0.0,21205,0,0,0,0,0,1,0.0,0.0,0,Tom,0.0,28,False,Knee injury - Unknown return date,2020-08-15T10:00:11.430596Z,45,21205.jpg,0.0,Heaton,0.1,False,,i,2,7,0,760,10,1981,33,0.0,0.0,Heaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,445,48,429,28,389,26,450,48,,,,,,
