element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,player_id,name,position,team
100.0,14.0,9.0,5.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.2,29.8,0.0,5.3,60.0,-5200.0,54426.0,2269.0,7469.0,100,Dwight McNeil,MID,4
100.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.2,10.4,4.0,2.8,60.0,-1726.0,54695.0,7182.0,8908.0,100,Dwight McNeil,MID,4
100.0,36.0,14.0,1.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,9.8,36.1,4.0,5.0,60.0,-4439.0,50828.0,2731.0,7170.0,100,Dwight McNeil,MID,4
100.0,48.0,18.0,3.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,21.6,34.0,7.0,6.3,59.0,-7657.0,43568.0,1140.0,8797.0,100,Dwight McNeil,MID,4
519.0,14.0,9.0,6.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,90.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,57.8,10.9,30.0,9.9,40.0,3810.0,38002.0,7180.0,3370.0,519,Jimmy Dunne,DEF,4
519.0,20.0,16.0,2.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.4,10.3,8.0,2.7,40.0,286176.0,385347.0,332636.0,46460.0,519,Jimmy Dunne,DEF,4
519.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,171940.0,573259.0,208820.0,36880.0,519,Jimmy Dunne,DEF,4
519.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,43395.0,613974.0,115269.0,71874.0,519,Jimmy Dunne,DEF,4
520.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,1824.0,29219.0,4332.0,2508.0,520,Bobby Thomas,DEF,4
520.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,3188.0,38198.0,7260.0,4072.0,520,Bobby Thomas,DEF,4
520.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,828.0,41396.0,4159.0,3331.0,520,Bobby Thomas,DEF,4
520.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,-1223.0,41336.0,1997.0,3220.0,520,Bobby Thomas,DEF,4
535.0,14.0,9.0,0.0,False,2020-09-20T18:00:00Z,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,535,Josh Benson,MID,4
535.0,20.0,16.0,0.0,True,2020-09-26T19:00:00Z,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,418.0,727.0,556.0,138.0,535,Josh Benson,MID,4
535.0,36.0,14.0,0.0,False,2020-10-03T19:00:00Z,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,112.0,986.0,262.0,150.0,535,Josh Benson,MID,4
535.0,48.0,18.0,0.0,False,2020-10-19T16:30:00Z,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,14.0,1149.0,216.0,202.0,535,Josh Benson,MID,4
