chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,gw,name,position
0.0,0.0,242166,0,0,-3,3,0,3,0.0,0.0,0,Matteo,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05T17:00:15.072120Z,47,242166.jpg,0.0,Guendouzi,0.1,False,,n,1,3,0,2581,3,11614,116,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,520,205,507,204,485,194,524,205,,,,,,,7,Matteo Guendouzi,MID
0.0,0.0,444145,0,0,-1,1,0,3,0.0,0.0,0,Gabriel Teodoro,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15T10:00:11.409498Z,49,444145.jpg,0.0,Martinelli Silva,0.0,False,,i,1,3,0,680,18,2170,24,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,554,218,544,217,533,213,558,218,,,,,,,7,Gabriel Teodoro Martinelli Silva,MID
,,462424,-1,1,-4,4,0,2,0.5,0.0,0,William,0.0,27,False,,,41,462424.jpg,0.0,Saliba,0.9,False,,a,1,3,0,20399,392,186548,1082,0.0,0.0,Saliba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,428,163,409,161,375,144,432,162,,,,,,,7,William Saliba,DEF
100.0,100.0,47431,0,0,-2,2,1,3,2.3,1.8,3,Willian,1.8,478,False,,2020-10-21T16:30:22.095468Z,78,47431.jpg,4.2,Borges Da Silva,5.4,False,,a,1,3,25,728241,2348,1104475,7932,0.2,3.2,Willian,447,0,3,2,5,0,0,0,0,0,0,2,83,56.8,110.4,42.0,21.0,195,76,40,30,149,80,100,56,1.0,,1.0,,,,7,Willian Borges Da Silva,MID
,,226597,0,0,1,-1,1,2,3.3,2.8,5,Gabriel,2.8,494,False,,,51,226597.jpg,4.7,Magalhães,11.4,False,,a,1,3,28,828237,4399,467456,10525,0.5,5.5,Gabriel,540,1,0,2,4,0,0,0,1,0,0,3,128,133.8,6.0,81.0,22.1,49,13,295,94,69,6,91,17,,,,,,,7,Gabriel Magalhães,DEF
100.0,100.0,182539,0,0,0,0,0,3,2.3,1.8,0,Daniel,1.8,501,False,,2020-10-21T16:30:22.125075Z,50,182539.jpg,2.7,Ceballos Fernández,1.5,False,,a,1,3,16,115516,825,153951,2513,0.4,3.2,Ceballos,392,0,1,1,4,0,0,0,1,0,0,3,99,111.4,140.1,24.0,27.6,83,30,25,19,200,104,66,39,3.0,,,,,,7,Daniel Ceballos Fernández,MID
,,153256,0,0,-1,1,0,3,1.7,1.2,3,Mohamed Naser,1.2,526,False,,,44,153256.jpg,2.5,El Sayed Elneny,1.5,False,,a,1,3,10,165621,1827,118705,2151,0.3,2.3,Elneny,360,0,0,2,4,0,0,0,0,0,0,0,62,42.6,19.7,22.0,8.4,226,91,224,130,207,108,255,112,,,,,,,7,Mohamed Naser El Sayed Elneny,MID
,,113534,0,0,0,0,0,1,0.5,0.0,0,Matt,0.0,527,False,,,40,113534.jpg,0.0,Macey,1.3,False,,a,1,3,0,90366,1280,34521,717,0.0,0.0,Macey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,408,34,390,14,351,11,412,34,,,,,,,7,Matt Macey,GK
,,115918,0,0,0,0,0,1,0.5,0.0,0,Rúnar Alex,0.0,547,False,,,45,115918.jpg,0.0,Rúnarsson,0.0,False,,a,1,3,0,1023,22,645,45,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,494,61,481,46,453,43,498,61,,,,,,,7,Rúnar Alex Rúnarsson,GK
,,167199,0,0,0,0,0,3,2.2,1.7,3,Thomas,1.7,567,False,,,50,167199.jpg,1.7,Partey,0.8,False,,a,1,3,5,69900,3057,17787,1320,0.3,1.0,Partey,187,0,0,1,1,0,0,0,1,0,0,0,31,11.6,14.1,0.0,2.5,337,147,252,142,546,218,349,155,,,,,,,7,Thomas Partey,MID
