element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,player_id,name,position,team,gw
15,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,13143,152759,27762,14619,15,Ainsley Maitland-Niles,DEF,1,2
15,23,11,1,False,2020-09-28T19:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,0,0,0,0,10,6.0,1.5,3.0,1.1,50,-30409,123510,5689,36098,15,Ainsley Maitland-Niles,DEF,1,3
15,29,15,1,True,2020-10-04T13:00:00Z,2.0,1.0,4,3,0,0,0,0,0,0,0,0,0,0,0,2,4.0,0.0,0.0,0.4,50,-9240,119317,4867,14107,15,Ainsley Maitland-Niles,DEF,1,4
15,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-13373,107386,3888,17261,15,Ainsley Maitland-Niles,DEF,1,5
15,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11089,97620,1972,13061,15,Ainsley Maitland-Niles,DEF,1,6
15,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-9895,88655,946,10841,15,Ainsley Maitland-Niles,DEF,1,7
16,2,8,6,False,2020-09-12T11:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,45,0,71148,0,0,16,Rob Holding,DEF,1,1
16,9,19,2,True,2020-09-19T19:00:00Z,2.0,1.0,2,90,0,0,0,1,0,0,0,0,0,0,0,16,13.6,0.3,0.0,1.4,45,46375,148466,72351,25976,16,Rob Holding,DEF,1,2
16,23,11,1,False,2020-09-28T19:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,0,0,0,0,14,32.0,0.1,0.0,3.2,45,14874,171240,51839,36965,16,Rob Holding,DEF,1,3
16,29,15,0,True,2020-10-04T13:00:00Z,2.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,10811,189724,26789,15978,16,Rob Holding,DEF,1,4
16,44,12,0,False,2020-10-17T16:30:00Z,1.0,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-24136,164456,7257,31393,16,Rob Holding,DEF,1,5
16,49,9,0,True,2020-10-25T19:15:00Z,0.0,1.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-40959,123830,648,41607,16,Rob Holding,DEF,1,6
16,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-33356,92334,53,33409,16,Rob Holding,DEF,1,7
17,2,8,6,False,2020-09-12T11:30:00Z,0.0,3.0,1,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,55,0,686005,0,0,17,Kieran Tierney,DEF,1,1
17,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,659,777005,56372,55713,17,Kieran Tierney,DEF,1,2
17,23,11,1,False,2020-09-28T19:00:00Z,3.0,1.0,3,90,0,0,0,3,0,0,0,0,0,0,0,16,28.2,0.7,0.0,2.9,55,-248129,518268,7001,255130,17,Kieran Tierney,DEF,1,3
17,29,15,2,True,2020-10-04T13:00:00Z,2.0,1.0,4,90,0,0,0,1,0,0,0,0,0,0,0,14,15.6,21.3,0.0,3.7,54,-46465,493590,10701,57166,17,Kieran Tierney,DEF,1,4
17,44,12,2,False,2020-10-17T16:30:00Z,1.0,0.0,5,90,0,0,0,1,0,0,0,0,0,0,0,9,7.6,2.0,11.0,2.1,54,-84040,409553,6985,91025,17,Kieran Tierney,DEF,1,5
17,49,9,2,True,2020-10-25T19:15:00Z,0.0,1.0,6,80,0,0,0,1,0,0,0,0,0,0,0,13,10.8,31.3,6.0,4.8,54,-17548,400394,7930,25478,17,Kieran Tierney,DEF,1,6
17,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-13105,389707,6304,19409,17,Kieran Tierney,DEF,1,7
18,2,8,1,False,2020-09-12T11:30:00Z,0.0,3.0,1,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,80,0,132947,0,0,18,Nicolas Pépé,MID,1,1
18,9,19,1,True,2020-09-19T19:00:00Z,2.0,1.0,2,26,0,0,0,0,0,0,0,0,0,0,0,3,1.0,2.3,8.0,1.1,79,-46967,95969,2864,49831,18,Nicolas Pépé,MID,1,2
18,23,11,1,False,2020-09-28T19:00:00Z,3.0,1.0,3,22,0,0,0,1,0,0,0,0,0,0,0,2,0.0,1.3,0.0,0.1,78,-31642,69956,1751,33393,18,Nicolas Pépé,MID,1,3
18,29,15,6,True,2020-10-04T13:00:00Z,2.0,1.0,4,32,1,0,0,1,0,0,0,0,0,0,0,22,34.4,1.1,19.0,5.5,78,-10151,63489,2000,12151,18,Nicolas Pépé,MID,1,4
18,44,12,2,False,2020-10-17T16:30:00Z,1.0,0.0,5,82,0,0,0,1,0,0,0,0,0,0,0,3,1.4,0.5,28.0,3.0,77,-2205,65683,5320,7525,18,Nicolas Pépé,MID,1,5
18,49,9,1,True,2020-10-25T19:15:00Z,0.0,1.0,6,25,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.9,0.0,0.1,77,-1158,66280,4158,5316,18,Nicolas Pépé,MID,1,6
18,64,13,0,False,2020-11-01T16:30:00Z,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,-3323,64070,2541,5864,18,Nicolas Pépé,MID,1,7
19,2,8,0,False,2020-09-12T11:30:00Z,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,15039,0,0,19,Lucas Torreira,MID,1,1
19,9,19,0,True,2020-09-19T19:00:00Z,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3347,14793,811,4158,19,Lucas Torreira,MID,1,2
19,23,11,0,False,2020-09-28T19:00:00Z,3.0,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-2285,13789,1248,3533,19,Lucas Torreira,MID,1,3
